expense,2024,2023,2022,2021,2020,2019
High cost of living/inflation,41,35,32,8,3,6
Cost of owning/renting a home,14,11,8,9,9,8
Too much debt/Not enough money to pay debts,8,9,7,6,7,6
Health care costs,7,4,7,8,8,17
Lack of money/Low wages,7,7,11,10,11,11
Energy costs/oil and gas prices,6,5,10,1,*,--
Taxes,4,3,2,7,1,8
College expenses/Student loans/Student loan debt,3,4,4,7,5,8
Unemployment/Loss of job,3,2,4,7,12,3
Interest rates,3,2,1,*,*,1
Insurance/Life insurance ,3,1,--,2,--,--
Retirement savings,2,4,2,3,4,5
Lack of savings,2,1,2,2,2,1
State of the economy ,2,2,2,2,3,1
Social Security,1,*,--,1,*,1
Transportation/commuting costs,1,1,*,*,*,*
Supporting parents/children/grandchildren,1,1,1,2,2,--
Credit card debt,1,*,1,1,1,--
Stock market/investments,1,1,1,2,4,*
Childcare/Daycare costs,1,1,--,--,--,--
Controlling spending,1,*,*,*,*,*
Effects of coronavirus situation,--,--,1,3,5,--