date,better,worse,same,no opinion
2024 Mar 1-20,35,57,5,3
2023 Mar 1-23,32,61,6,1
2022 Mar 1-18,35,59,6,1
2021 Mar 1-15,42,52,5,1
2020 Mar 2-13,36,60,4,1
2019 Mar 1-10,32,64,3,1
2018 Mar 1-8,33,61,4,2
2017 Mar 1-5,36,57,4,3
2016 Mar 2-6,37,56,5,3
2015 Mar 5-8,41,51,7,1
2014 Mar 6-9,42,50,6,2
2013 Mar 7-10,41,49,7,4
2012 Mar 8-11,42,49,7,2
2011 Mar 3-6,42,48,8,2
2010 Mar 4-7,41,48,8,3
2009 Mar 5-8,41,51,5,2
2008 Mar 6-9,26,68,5,1
2007 Mar 11-14,25,67,7,1
2006 Mar 13-16,25,67,6,2
2005 Mar 7-10,29,63,6,2
2004 Mar 8-11,34,58,6,2
2003 Mar 3-5,33,57,8,2
2002 Mar 4-7,40,54,4,2
2001 Mar 5-7,36,57,5,2