date,Too much,Too little,Right amount,No opinion
2024 Mar 1-20,19,50,28,3
2023 Mar 1-23,18,56,25,1
2022 Mar 1-18,18,54,28,1
2021 Mar 1-15,15,56,29,*
2020 Mar 2-13,6,61,32,1
2019 Mar 1-10,8,61,31,1
2018 Mar 1-8,9,62,28,1
2017 Mar 1-5,11,59,26,3
2016 Mar 2-6,12,57,29,2
2015 Mar 5-8,16,48,34,1
2014 Mar 6-9,17,48,34,1
2013 Mar 7-10,16,47,35,2
2012 Mar 8-11,17,51,30,2
2011 Mar 3-6,16,49,33,2
2010 Mar 4-7,15,46,35,4
2006 Mar 13-16 ^,4,62,33,1
2005 Mar 7-10 ^,5,58,34,3
2004 Mar 8-11 ^,5,55,37,3
2003 Mar 3-5 ^,7,51,37,5
2000 Apr 3-9,10,58,30,2
1992 Jan 5-Mar 31,4,68,26,2