date,excellent,good,fair,poor,no opinion
2024 Mar 1-20,8,36,41,14,1
2023 Mar 1-23,6,34,44,15,*
2022 Mar 1-18,7,32,43,18,*
2021 Mar 1-15,10,31,44,15,*
2020 Mar 2-13,6,36,43,14,*
2019 Mar 1-10,11,32,43,15,*
2018 Mar 1-8,6,34,47,12,1
2017 Mar 1-5,6,40,44,9,1
2016 Mar 2-6,6,37,45,12,1
2015 Mar 5-8,7,43,40,9,1
2014 Mar 6-9,5,39,44,11,*
2013 Mar 7-10,7,41,43,8,*
2012 Mar 8-11,6,38,45,10,1
2011 Mar 3-6,7,38,43,11,*
2010 Mar 4-7,4,42,44,9,1
2009 Mar 5-8,5,34,45,16,*
2008 Mar 6-9,5,35,49,11,*
2007 Mar 11-14,5,35,48,11,1
2006 Mar 13-16,5,35,49,11,*
2005 Mar 7-10,4,37,48,10,1
2004 Mar 8-11,4,39,46,11,*
2003 Mar 3-5,5,36,48,10,1
2002 Mar 4-7,4,43,45,7,1
2001 Mar 5-7,5,41,47,6,1